Name,UID,Code,Short name,Description,Form name,Domain type,Value type,Aggregation operator,Category combination UID,Url,Zero is significant,Option set,Comment option set
HH - Household status,,,HH - Household status,,Household Status,TRACKER,TEXT,NONE,,,,,
HH - Air pollution exposure to HH members,,,HH - Air pollution exposure to HH members,,"Are household members often exposed to Household Air Pollution from the inefficient combustion of solid fuels (i.e. wood, coal, charcoal, crop waste, dung) and kerosene used for cooking including animal feeds, heating or lighting the house?",TRACKER,BOOLEAN,NONE,,,,,
HH - Drinking water main source,,,HH - Drinking water main source,,What is the MAIN source (point of collection) of drinking water for members of your household?,TRACKER,TEXT,NONE,,,,,
HH - Water collection location,,,HH - Water collection location,,Where is that water source (point of collection) located?,TRACKER,TEXT,NONE,,,,,
HH - Time to get water,,,HH - Time to get water,,"How long does it take to go there, get water (queue for water and fill containers), and come back? ",TRACKER,TEXT,NONE,,,,,
HH - Insufficient drinking water,,,HH - Insufficient drinking water,,"In the last month, has there been any time when your household did not have sufficient quantities of drinking water when needed?",TRACKER,TEXT,NONE,,,,,
HH - Toilet facility used,,,HH - Toilet facility used,,What kind of toilet facility do members of your household usually use?,TRACKER,TEXT,NONE,,,,,
HH - Facility shared with non HH members,,,HH - Facility shared with non HH members,,Do you share this facility with others who are not members of your household?,TRACKER,BOOLEAN,NONE,,,,,
HH - Emptied pit latrine or septic tank,,,HH - Emptied pit latrine or septic tank,,Has your (pit latrine or septic tank) been emptied last year,TRACKER,TEXT,NONE,,,,,
HH - Emptied septic tank contents location,,,HH - Emptied septic tank contents location,,"The last time it was emptied, where were the contents emptied?",TRACKER,TEXT,NONE,,,,,
HH - HHM Hand wash location,,,HH - HHM Hand wash location,,Can you please show me where members of your household most often wash their hands?,TRACKER,TEXT,NONE,,,,,
HH - Availibility of water,,,HH - Availibility of water,,"Observe availability of water at the place for handwashing. (Note: Verify by checking the tap/pump, or basin, bucket, water container or similar objects for presence of water.)",TRACKER,TEXT,NONE,,,,,
HH - Availibility of detergent,,,HH - Availibility of detergent,,Observe availability of soap or detergent at the place for handwashing,TRACKER,TEXT,NONE,,,,,
HH - Composting,,,HH - Composting,,Composting,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Animal feeds,,,HH - Animal feeds,,"Animal feeds (e.g., food or vegetables wastes)",TRACKER,TRUE_ONLY,NONE,,,,,
HH - Public garbage collection,,,HH - Public garbage collection,,Public garbage collection,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Open Pit,,,HH - Open Pit,,Open Pit,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Solid waste Others,,,HH - Solid waste Others,,Others,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Recycling or reusing,,,HH - Recycling or reusing,,Recycling or reusing (including scrape dealers),TRACKER,TRUE_ONLY,NONE,,,,,
HH - Burning,,,HH - Burning,,Burning,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Recyclable solid waste Others,,,HH - Recyclable solid waste Others,,Others,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Burial,,,HH - Burial,,Burial,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Non bio-deradable solid waste Others,,,HH - Non bio-deradable solid waste Others,,Others,TRACKER,TRUE_ONLY,NONE,,,,,
HH - Proper drainage,,,HH - Proper drainage,,Proper drainage,TRACKER,BOOLEAN,NONE,,,,,
HH - Livestock - no animal shed,,,HH - Livestock - no animal shed,,Livestock without separate animal-shed,TRACKER,TEXT,NONE,,,,,
HH - Nearest facility distance,,,HH - Nearest facility distance,,"Using the usual means, how long does it take to get to the nearest facility in minutes?",TRACKER,NUMBER,NONE,,,,,
HH - HH's total income,,,HH - HH's total income,,"What was your household’s TOTAL INCOME (collective for all members and all sources: salaries, wages, pension, farm produce, dairy, forest products, zorig chusum, remittance, kidu, business, real state, rental, etc ) last year?",TRACKER,NUMBER,NONE,,,,,
HH - LLIN's recieved last year,,,HH - LLIN's recieved last year,,Does your household have Long Lasting Insecticide Nets (LLIN) received last year?,TRACKER,BOOLEAN,NONE,,,,,
HH - No. of LLINs reciieved,,,HH - No. of LLINs reciieved,,No. of LLINs received last year,TRACKER,INTEGER_ZERO_OR_POSITIVE,NONE,,,,,
HH - Anyone sleep under LLIN,,,HH - Anyone sleep under LLIN,,Did anyone in your household sleep under LLINs last night?,TRACKER,BOOLEAN,NONE,,,,,
HH - U5 children slept under LLIN,,,HH - U5 children slept under LLIN,,No. of U5 children who slept under LLINs last night,TRACKER,NUMBER,NONE,,,,,
HH - Pregnant women slept under LLIN,,,HH - Pregnant women slept under LLIN,,No. of pregnant women who slept under LLINs last night,TRACKER,NUMBER,NONE,,,,,
HH - Other HHM slept under LLIN,,,HH - Other HHM slept under LLIN,,No. of other members who slept under LLINs last night,TRACKER,NUMBER,NONE,,,,,
HH - IRS Sprayed,,,HH - IRS Sprayed,,Was your house sprayed with IRS last year? ,TRACKER,BOOLEAN,NONE,,,,,
HH - HH Salt iodine content,,,HH - HH Salt iodine content,,Household salt Iodine content,TRACKER,TEXT,NONE,,,,,
HH - Brand of salt,,,HH - Brand of salt,,If less than15 PPM specify the brand of salt,TRACKER,TEXT,NONE,,,,,
